"File","NEF","TIFF","Date Created","Date Modified","File Size","Image Size","Date Shot","Time Zone and Date","Image Quality","Artist","Copyright","Image Comment","Device","Lens","Focal Length","Focus Mode","AF-Area Mode","VR","AF Fine Tune","Aperture","Shutter Speed","Exposure Mode","Exposure Comp.","Exposure Tuning","Metering","ISO Sensitivity","Flash Device","Flash Sync Mode","Flash Mode","White Balance","Color Space","High ISO NR","Long Exposure NR","Active D-Lighting","Image Authentication","Vignette Control","Auto Distortion Control","Picture Control","Base","Quick Adjust","Sharpening","Contrast","Brightness","Saturation","Hue","Filter Effects","Toning","Optimize Image","Color Mode","Tone Comp.","Hue Adjustment","Saturation","Sharpening","Latitude","Longitude","Altitude","Altitude Reference","Heading","UTC","Map Datum","Scene Mode","Keywords"
"ra0cc3d11t","http://193.205.194.113/RAISE/NEF/ra0cc3d11t.NEF","http://193.205.194.113/RAISE/TIFF/ra0cc3d11t.TIF","9/20/2014 15:20","8/27/2011 19:28","11.0 MB","L (4288 x 2848)","28:51.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","25mm","AF-A","Auto","ON","","f/9","1/2000s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M2","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r9369c8cft","http://193.205.194.113/RAISE/NEF/r9369c8cft.NEF","http://193.205.194.113/RAISE/TIFF/r9369c8cft.TIF","9/20/2014 15:20","8/27/2011 19:29","11.0 MB","L (4288 x 2848)","28:59.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","22mm","AF-A","Auto","ON","","f/9","1/2000s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M2","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"ra72553a8t","http://193.205.194.113/RAISE/NEF/ra72553a8t.NEF","http://193.205.194.113/RAISE/TIFF/ra72553a8t.TIF","9/20/2014 15:20","8/27/2011 19:29","11.1 MB","L (4288 x 2848)","29:14.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/9","1/2000s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M2","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r6b949381t","http://193.205.194.113/RAISE/NEF/r6b949381t.NEF","http://193.205.194.113/RAISE/TIFF/r6b949381t.TIF","9/20/2014 15:21","8/27/2011 20:56","11.6 MB","L (4288 x 2848)","56:25.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/8","1/2500s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M2","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"rdd12a2d4t","http://193.205.194.113/RAISE/NEF/rdd12a2d4t.NEF","http://193.205.194.113/RAISE/TIFF/rdd12a2d4t.TIF","9/20/2014 15:21","8/27/2011 20:56","11.6 MB","L (4288 x 2848)","56:55.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/11","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"rfc335971t","http://193.205.194.113/RAISE/NEF/rfc335971t.NEF","http://193.205.194.113/RAISE/TIFF/rfc335971t.TIF","9/20/2014 15:21","8/27/2011 20:58","11.2 MB","L (4288 x 2848)","58:21.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","45mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r6456b26dt","http://193.205.194.113/RAISE/NEF/r6456b26dt.NEF","http://193.205.194.113/RAISE/TIFF/r6456b26dt.TIF","9/20/2014 15:21","8/27/2011 20:59","11.0 MB","L (4288 x 2848)","58:59.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r57303bd2t","http://193.205.194.113/RAISE/NEF/r57303bd2t.NEF","http://193.205.194.113/RAISE/TIFF/r57303bd2t.TIF","9/20/2014 15:21","8/27/2011 20:59","11.1 MB","L (4288 x 2848)","59:28.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"rd994bf38t","http://193.205.194.113/RAISE/NEF/rd994bf38t.NEF","http://193.205.194.113/RAISE/TIFF/rd994bf38t.TIF","9/20/2014 15:21","8/27/2011 20:59","10.9 MB","L (4288 x 2848)","59:39.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","objects; outdoor"
"r8fafc1a2t","http://193.205.194.113/RAISE/NEF/r8fafc1a2t.NEF","http://193.205.194.113/RAISE/TIFF/r8fafc1a2t.TIF","9/20/2014 15:21","8/27/2011 21:00","11.1 MB","L (4288 x 2848)","00:01.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","48mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
